data;uf;total_pago;total_recebido;total_energia_entregue;total_energia_recebida;total_capacidade;total_geracao_centro_gravidade
2018-06-01;RO;953.0;18193.0;1532.0;54.0;8087.511;4791
2018-06-01;AC;0.0;0.0;0.0;0.0;45.497;0
2018-06-01;AM;311.0;8.0;1.0;18.0;1706.002;642
2018-06-01;AP;11.0;2234.0;188.0;1.0;965.95;656
2018-12-01;MG;43593.0;7495.0;624.0;2598.0;16189.214999999997;4390
2018-12-01;SP;16086.0;10042.0;846.0;956.0;21836.78699999999;7097
2018-12-01;RJ;2582.0;373.0;32.0;155.0;13388.808000000003;3528
2018-12-01;GO;10705.0;4440.0;374.0;648.0;7713.438;2819
2018-12-01;AL;21374.0;0.0;0.0;1285.0;4481.891;636
2018-12-01;PE;9041.0;0.0;0.0;544.0;4363.522000000001;783
2018-12-01;SE;18931.0;0.0;0.0;1137.0;3255.0;706
2018-12-01;BA;4248.0;1750.0;148.0;256.0;7793.143999999998;1994
2018-12-01;PI;102.0;306.0;26.0;7.0;2229.000000000001;702
2018-12-01;PR;6866.0;88236.0;3406.0;397.0;23674.06;12088
2018-12-01;SC;6252.0;2301.0;189.0;369.0;4384.9940000000015;1648
2018-12-01;RS;2954.0;10771.0;900.0;171.0;12829.320000000009;4137
2018-12-01;PA;12023.0;16189.0;1362.0;697.0;22246.170000000002;9664
2018-12-01;RN;0.0;0.0;0.0;0.0;4965.483999999999;1675
2018-12-01;ES;691.0;512.0;42.0;39.0;1576.389;514
2018-12-01;MS;98.0;202.0;16.0;6.0;2999.384;598
2018-12-01;PB;13.0;0.0;0.0;1.0;844.6540000000001;176
2018-12-01;CE;0.0;0.0;0.0;0.0;4325.244;939
2018-12-01;MT;1308.0;2620.0;218.0;78.0;3637.273000000001;1313
2018-12-01;MA;4250.0;99.0;9.0;259.0;3826.1069999999995;778
2018-12-01;DF;13.0;77.0;6.0;1.0;30;19
2018-12-01;TO;2552.0;570.0;48.0;156.0;1909.6789999999999;824
2018-12-01;RO;189.0;16200.0;1363.0;12.0;8089.215;5739
2018-12-01;AM;603.0;0.0;0.0;37.0;1706.002;744
2018-12-01;AP;341.0;2634.0;222.0;20.0;965.95;549
2018-07-01;MG;20778.0;11321.0;951.0;1228.0;15946.164999999997;4900
2018-07-01;SP;5567.0;21152.0;1777.0;317.0;21825.496999999992;8826
2018-07-01;RJ;1303.0;1324.0;112.0;78.0;13379.702000000003;4936
2018-07-01;GO;7810.0;8861.0;748.0;465.0;7687.938;3305
2018-07-01;AL;13438.0;0.0;0.0;806.0;4481.891;570
2018-07-01;PE;5658.0;43.0;4.0;336.0;4363.522000000001;1248
2018-07-01;SE;12393.0;0.0;0.0;742.0;3255.0;593
2018-07-01;BA;5671.0;22.0;2.0;340.0;7239.293999999999;2345
2018-07-01;PI;38.0;131.0;11.0;2.0;2034.0000000000011;1116
2018-07-01;PR;7853.0;87527.0;3443.0;428.0;23653.06;9996
2018-07-01;SC;3686.0;3489.0;290.0;210.0;4382.348000000002;1735
2018-07-01;RS;2911.0;13767.0;1155.0;157.0;10618.869000000008;3959
2018-07-01;PA;44794.0;1095.0;92.0;2654.0;22245.971999999998;3692
