id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
SE;SUDESTE;2022-04-27;44083.13404167
N;NORTE;2022-04-28;6081.136625
NE;NORDESTE;2022-04-28;11736.16908333
S;SUL;2022-04-28;13048.24545833
SE;SUDESTE;2022-04-28;44166.102375
N;NORTE;2022-04-29;6057.5445
NE;NORDESTE;2022-04-29;11463.21983333
S;SUL;2022-04-29;12261.400625
SE;SUDESTE;2022-04-29;43800.097125
N;NORTE;2022-04-30;5774.41595833
NE;NORDESTE;2022-04-30;10758.946
S;SUL;2022-04-30;10444.07595833
SE;SUDESTE;2022-04-30;39486.40554167
N;NORTE;2022-05-01;5531.15854167
NE;NORDESTE;2022-05-01;9762.44358333
S;SUL;2022-05-01;8794.163125
SE;SUDESTE;2022-05-01;35284.316875
N;NORTE;2022-05-02;5958.91866667
NE;NORDESTE;2022-05-02;11243.95633333
S;SUL;2022-05-02;11643.82154167
SE;SUDESTE;2022-05-02;41868.0985
N;NORTE;2022-05-03;6088.37479167
NE;NORDESTE;2022-05-03;11551.35820833
S;SUL;2022-05-03;11941.66258333
SE;SUDESTE;2022-05-03;43297.15395833
N;NORTE;2022-05-04;5963.19179167
NE;NORDESTE;2022-05-04;11606.71004167
S;SUL;2022-05-04;11643.86191667
SE;SUDESTE;2022-05-04;42582.21333333
N;NORTE;2022-05-05;6227.7635
NE;NORDESTE;2022-05-05;11509.29916667
S;SUL;2022-05-05;11442.40841667
SE;SUDESTE;2022-05-05;40708.18866667
N;NORTE;2022-05-06;6106.2215
NE;NORDESTE;2022-05-06;11144.27670833
S;SUL;2022-05-06;11157.65708333
SE;SUDESTE;2022-05-06;40391.02225
N;NORTE;2022-05-07;5900.54070833
NE;NORDESTE;2022-05-07;10519.48775
S;SUL;2022-05-07;9335.04216667
SE;SUDESTE;2022-05-07;37142.017625
N;NORTE;2022-05-08;5497.33675
NE;NORDESTE;2022-05-08;9926.74183333
S;SUL;2022-05-08;7743.53041667
SE;SUDESTE;2022-05-08;33561.95158333
N;NORTE;2022-05-09;6035.17216667
NE;NORDESTE;2022-05-09;11270.06979167
S;SUL;2022-05-09;10809.69308333
SE;SUDESTE;2022-05-09;39179.48766667
N;NORTE;2022-05-10;6334.98875
NE;NORDESTE;2022-05-10;11452.83004167
S;SUL;2022-05-10;11654.6235
SE;SUDESTE;2022-05-10;40062.77775
N;NORTE;2022-05-11;6452.41641667
NE;NORDESTE;2022-05-11;11462.66241667
