id_subsistema;nom_subsistema;din_instante;val_cargaenergiahomwmed
S;SUL;2022-01-04 19:00:00;14556.319
SE;SUDESTE;2022-01-04 19:00:00;47601.32099999
N;NORTE;2022-01-04 20:00:00;6424.16799999
NE;NORDESTE;2022-01-04 20:00:00;12109.09599999
S;SUL;2022-01-04 20:00:00;15027.552
SE;SUDESTE;2022-01-04 20:00:00;47503.709
N;NORTE;2022-01-04 21:00:00;6501.193
NE;NORDESTE;2022-01-04 21:00:00;12620.05699999
S;SUL;2022-01-04 21:00:00;15016.56599999
SE;SUDESTE;2022-01-04 21:00:00;46478.901
N;NORTE;2022-01-04 22:00:00;6547.135
NE;NORDESTE;2022-01-04 22:00:00;12473.089
S;SUL;2022-01-04 22:00:00;14757.372
SE;SUDESTE;2022-01-04 22:00:00;44590.91599999
N;NORTE;2022-01-04 23:00:00;6505.487
NE;NORDESTE;2022-01-04 23:00:00;12080.23599999
S;SUL;2022-01-04 23:00:00;13954.24499999
SE;SUDESTE;2022-01-04 23:00:00;42029.01799999
N;NORTE;2022-01-05 00:00:00;6364.34999999
NE;NORDESTE;2022-01-05 00:00:00;11705.931
S;SUL;2022-01-05 00:00:00;13100.888
SE;SUDESTE;2022-01-05 00:00:00;39630.746
N;NORTE;2022-01-05 01:00:00;6224.353
NE;NORDESTE;2022-01-05 01:00:00;11304.19
S;SUL;2022-01-05 01:00:00;12535.43999999
SE;SUDESTE;2022-01-05 01:00:00;37700.439
N;NORTE;2022-01-05 02:00:00;6131.06899999
NE;NORDESTE;2022-01-05 02:00:00;11149.723
S;SUL;2022-01-05 02:00:00;12125.88
SE;SUDESTE;2022-01-05 02:00:00;36576.959
N;NORTE;2022-01-05 03:00:00;6042.82399999
NE;NORDESTE;2022-01-05 03:00:00;10936.285
S;SUL;2022-01-05 03:00:00;11843.045
SE;SUDESTE;2022-01-05 03:00:00;35996.958
N;NORTE;2022-01-05 04:00:00;5914.042
NE;NORDESTE;2022-01-05 04:00:00;10893.24499999
S;SUL;2022-01-05 04:00:00;11770.472
SE;SUDESTE;2022-01-05 04:00:00;36003.44
N;NORTE;2022-01-05 05:00:00;5738.738
NE;NORDESTE;2022-01-05 05:00:00;10211.347
S;SUL;2022-01-05 05:00:00;11793.28899999
SE;SUDESTE;2022-01-05 05:00:00;36290.83999999
N;NORTE;2022-01-05 06:00:00;5458.75799999
NE;NORDESTE;2022-01-05 06:00:00;9884.65899999
S;SUL;2022-01-05 06:00:00;11957.63799999
